MEMBER,TYPE,GROUP
doug,special,impersonator
doug,special,analyst
david.hagan,special,analyst
david.hagen,special,superuser
david.hagen,ou,PHY-222_CA01
david.hagen,ou,PHY-222_CAO1
david.hagen,ou,PHY-222
dave,special,superuser
a,ou,aAndB
b,ou,aAndB
dave,role,Staff
dave,role,Domain Users
dave,course,Education
dave,course,Drama
dave,course,English
dave,section,CA-01
dave,section,CA-02
dave,groupCategory,customStudentGroups
dave,groupCategory,teacherDefinedGroups
dave,group,groupA
dave,group,groupB
dave,group,groupC
